w,w1,l21,l22,w2,FOM
1.0,1.0,6.3,6.3,1.0,2244.6825240046096
1.0,1.0,6.3,6.3,1.5,2253.630056094598
1.0,1.0,6.3,6.3,2.0,2268.003113961956
1.0,1.0,6.3,6.3,2.5,2298.8829376749113
1.0,1.0,6.3,6.3,3.0,2332.1316430625334
1.0,1.0,6.3,6.3,3.5,2394.321633590428
1.0,1.0,6.3,6.8,1.0,2238.7761069116405
1.0,1.0,6.3,6.8,1.5,2232.0954625275917
1.0,1.0,6.3,6.8,2.0,2229.521032026224
1.0,1.0,6.3,6.8,2.5,2243.6115630058516
1.0,1.0,6.3,6.8,3.0,2257.9321416677612
1.0,1.0,6.3,6.8,3.5,2312.726432571577
1.0,1.0,6.3,7.3,1.0,2245.630361898286
1.0,1.0,6.3,7.3,1.5,2221.0397929638084
1.0,1.0,6.3,7.3,2.0,2212.1542979063142
1.0,1.0,6.3,7.3,2.5,2212.346415354847
1.0,1.0,6.3,7.3,3.0,2218.123693801715
1.0,1.0,6.3,7.3,3.5,2248.746094765553
1.0,1.0,6.8,6.3,1.0,2238.7698899346797
1.0,1.0,6.8,6.3,1.5,2232.0983526758714
1.0,1.0,6.8,6.3,2.0,2229.5474618133435
1.0,1.0,6.8,6.3,2.5,2239.2461221669664
1.0,1.0,6.8,6.3,3.0,2262.686192792089
1.0,1.0,6.8,6.3,3.5,2312.616653879211
1.0,1.0,6.8,6.8,1.0,2185.475388403607
1.0,1.0,6.8,6.8,1.5,2176.1775920514547
1.0,1.0,6.8,6.8,2.0,2168.2745121204753
1.0,1.0,6.8,6.8,2.5,2165.3178654462617
1.0,1.0,6.8,6.8,3.0,2176.3823524297213
1.0,1.0,6.8,6.8,3.5,2202.2123411197185
1.0,1.0,6.8,7.3,1.0,2149.9500477620627
1.0,1.0,6.8,7.3,1.5,2129.430682106024
1.0,1.0,6.8,7.3,2.0,2112.714488458151
1.0,1.0,6.8,7.3,2.5,2109.0684429919247
1.0,1.0,6.8,7.3,3.0,2112.3101976188573
1.0,1.0,6.8,7.3,3.5,2136.0688200462637
1.0,1.0,7.3,6.3,1.0,2245.585545732977
1.0,1.0,7.3,6.3,1.5,2221.046548780174
1.0,1.0,7.3,6.3,2.0,2202.6116489701953
1.0,1.0,7.3,6.3,2.5,2212.0560438470616
1.0,1.0,7.3,6.3,3.0,2219.108795826879
1.0,1.0,7.3,6.3,3.5,2248.738264941019
1.0,1.0,7.3,6.8,1.0,2149.950431197534
1.0,1.0,7.3,6.8,1.5,2129.415152752426
1.0,1.0,7.3,6.8,2.0,2118.66740274879
1.0,1.0,7.3,6.8,2.5,2109.060554718456
1.0,1.0,7.3,6.8,3.0,2112.158597942752
1.0,1.0,7.3,6.8,3.5,2136.039217934348
1.0,1.0,7.3,7.3,1.0,2094.457005861237
1.0,1.0,7.3,7.3,1.5,2067.0294577674617
1.0,1.0,7.3,7.3,2.0,2051.056351318768
1.0,1.0,7.3,7.3,2.5,2052.505495206245
1.0,1.0,7.3,7.3,3.0,2052.8234435587115
1.0,1.0,7.3,7.3,3.5,2050.147086426398
1.0,1.5,6.3,6.3,1.0,2179.940391341605
1.0,1.5,6.3,6.3,1.5,2204.5295804398493
1.0,1.5,6.3,6.3,2.0,2225.6802669635517
1.0,1.5,6.3,6.3,2.5,2254.8779917488246
1.0,1.5,6.3,6.3,3.0,2295.93675461371
1.0,1.5,6.3,6.3,3.5,2360.845448975438
1.0,1.5,6.3,6.8,1.0,2177.090022614107
1.0,1.5,6.3,6.8,1.5,2174.2110919684947
1.0,1.5,6.3,6.8,2.0,2188.386525738554
1.0,1.5,6.3,6.8,2.5,2201.6098021962443
1.0,1.5,6.3,6.8,3.0,2232.5883889200304
1.0,1.5,6.3,6.8,3.5,2288.408636216626
1.0,1.5,6.3,7.3,1.0,2193.1230241097564
1.0,1.5,6.3,7.3,1.5,2175.8734891365766
1.0,1.5,6.3,7.3,2.0,2172.7728007915425
1.0,1.5,6.3,7.3,2.5,2176.68120942948
1.0,1.5,6.3,7.3,3.0,2192.2582277044303
1.0,1.5,6.3,7.3,3.5,2229.9983428911437
1.0,1.5,6.8,6.3,1.0,2177.0538879475466
1.0,1.5,6.8,6.3,1.5,2174.248110710025
1.0,1.5,6.8,6.3,2.0,2176.667335907675
1.0,1.5,6.8,6.3,2.5,2201.6243909638506
1.0,1.5,6.8,6.3,3.0,2232.5675848237306
1.0,1.5,6.8,6.3,3.5,2296.0476858906336
1.0,1.5,6.8,6.8,1.0,2131.5294077407416
1.0,1.5,6.8,6.8,1.5,2129.9329474970978
1.0,1.5,6.8,6.8,2.0,2128.875859545099
1.0,1.5,6.8,6.8,2.5,2130.82079510857
1.0,1.5,6.8,6.8,3.0,2148.785802556525
1.0,1.5,6.8,6.8,3.5,2173.220226710842
1.0,1.5,6.8,7.3,1.0,2098.011616745618
1.0,1.5,6.8,7.3,1.5,2081.7033919362443
1.0,1.5,6.8,7.3,2.0,2081.5058760045276
1.0,1.5,6.8,7.3,2.5,2075.5881882697295
1.0,1.5,6.8,7.3,3.0,2086.246614960686
1.0,1.5,6.8,7.3,3.5,2112.6262636280303
1.0,1.5,7.3,6.3,1.0,2193.1044330710793
1.0,1.5,7.3,6.3,1.5,2175.857419820132
1.0,1.5,7.3,6.3,2.0,2174.256944721491
1.0,1.5,7.3,6.3,2.5,2176.493613666111
1.0,1.5,7.3,6.3,3.0,2192.2445953146553
1.0,1.5,7.3,6.3,3.5,2229.974984764812
1.0,1.5,7.3,6.8,1.0,2098.041877688298
1.0,1.5,7.3,6.8,1.5,2081.7001122362017
1.0,1.5,7.3,6.8,2.0,2081.502206204429
1.0,1.5,7.3,6.8,2.5,2082.0487216973906
1.0,1.5,7.3,6.8,3.0,2086.2059747928342
1.0,1.5,7.3,6.8,3.5,2112.580397793503
1.0,1.5,7.3,7.3,1.0,2045.9633511061324
1.0,1.5,7.3,7.3,1.5,2023.477358032353
1.0,1.5,7.3,7.3,2.0,2018.4232082915332
1.0,1.5,7.3,7.3,2.5,2018.2669239987617
1.0,1.5,7.3,7.3,3.0,2025.2144758311879
1.0,1.5,7.3,7.3,3.5,2026.9496857687332
1.0,2.0,6.3,6.3,1.0,2130.371817255602
1.0,2.0,6.3,6.3,1.5,2164.792383394075
1.0,2.0,6.3,6.3,2.0,2195.2254529598576
1.0,2.0,6.3,6.3,2.5,2233.8481869983043
1.0,2.0,6.3,6.3,3.0,2290.545888354929
1.0,2.0,6.3,6.3,3.5,2368.849149596059
1.0,2.0,6.3,6.8,1.0,2139.3557604194402
1.0,2.0,6.3,6.8,1.5,2143.040133368065
1.0,2.0,6.3,6.8,2.0,2152.4628118846267
1.0,2.0,6.3,6.8,2.5,2189.05225183339
1.0,2.0,6.3,6.8,3.0,2234.478002410556
1.0,2.0,6.3,6.8,3.5,2311.4655393486046
1.0,2.0,6.3,7.3,1.0,2154.5246042557164
1.0,2.0,6.3,7.3,1.5,2152.3704262782558
1.0,2.0,6.3,7.3,2.0,2153.0219874762656
1.0,2.0,6.3,7.3,2.5,2163.029213906473
1.0,2.0,6.3,7.3,3.0,2192.8423970967233
1.0,2.0,6.3,7.3,3.5,2242.8080276141545
1.0,2.0,6.8,6.3,1.0,2139.399524793477
1.0,2.0,6.8,6.3,1.5,2143.0090299533063
1.0,2.0,6.8,6.3,2.0,2152.7162598123064
1.0,2.0,6.8,6.3,2.5,2189.046835420584
1.0,2.0,6.8,6.3,3.0,2234.406014300528
1.0,2.0,6.8,6.3,3.5,2311.4148089612327
1.0,2.0,6.8,6.8,1.0,2095.304202907709
1.0,2.0,6.8,6.8,1.5,2091.1958509714063
1.0,2.0,6.8,6.8,2.0,2102.2850165465416
1.0,2.0,6.8,6.8,2.5,2115.631044550087
1.0,2.0,6.8,6.8,3.0,2130.365646394903
1.0,2.0,6.8,6.8,3.5,2190.6666522796268
1.0,2.0,6.8,7.3,1.0,2075.7025189697015
1.0,2.0,6.8,7.3,1.5,2054.3884915004533
1.0,2.0,6.8,7.3,2.0,2052.7256986921884
1.0,2.0,6.8,7.3,2.5,2059.2638660366792
1.0,2.0,6.8,7.3,3.0,2080.148595722264
1.0,2.0,6.8,7.3,3.5,2118.040642783256
1.0,2.0,7.3,6.3,1.0,2154.537557249108
1.0,2.0,7.3,6.3,1.5,2152.1536231091522
1.0,2.0,7.3,6.3,2.0,2152.8897074667925
1.0,2.0,7.3,6.3,2.5,2162.994597546512
1.0,2.0,7.3,6.3,3.0,2188.1428178143574
1.0,2.0,7.3,6.3,3.5,2242.910258212227
1.0,2.0,7.3,6.8,1.0,2071.9870305513523
1.0,2.0,7.3,6.8,1.5,2055.3723825943325
1.0,2.0,7.3,6.8,2.0,2052.692903106065
1.0,2.0,7.3,6.8,2.5,2059.299216560957
1.0,2.0,7.3,6.8,3.0,2080.1032496245352
1.0,2.0,7.3,6.8,3.5,2118.0158303376
1.0,2.0,7.3,7.3,1.0,2013.9032918806927
1.0,2.0,7.3,7.3,1.5,2003.5617993051246
1.0,2.0,7.3,7.3,2.0,1993.1895552588103
1.0,2.0,7.3,7.3,2.5,2001.5802337255197
1.0,2.0,7.3,7.3,3.0,2008.9478041229331
1.0,2.0,7.3,7.3,3.5,2019.6423264182786
1.0,2.5,6.3,6.3,1.0,2106.8903354827444
1.0,2.5,6.3,6.3,1.5,2134.4925830370066
1.0,2.5,6.3,6.3,2.0,2176.3651578308736
1.0,2.5,6.3,6.3,2.5,2228.3805213417468
1.0,2.5,6.3,6.3,3.0,2307.1340938807075
1.0,2.5,6.3,6.3,3.5,2419.145899174994
1.0,2.5,6.3,6.8,1.0,2116.9600076254455
1.0,2.5,6.3,6.8,1.5,2134.120642552849
1.0,2.5,6.3,6.8,2.0,2161.56509848128
1.0,2.5,6.3,6.8,2.5,2197.131672581141
1.0,2.5,6.3,6.8,3.0,2258.3010585500974
1.0,2.5,6.3,6.8,3.5,2370.683618809445
1.0,2.5,6.3,7.3,1.0,2138.228015254421
1.0,2.5,6.3,7.3,1.5,2132.0578174946986
1.0,2.5,6.3,7.3,2.0,2149.487589409078
1.0,2.5,6.3,7.3,2.5,2169.5333557113718
1.0,2.5,6.3,7.3,3.0,2209.8742811214
1.0,2.5,6.3,7.3,3.5,2321.5464723806426
1.0,2.5,6.8,6.3,1.0,2116.6772737666424
1.0,2.5,6.8,6.3,1.5,2134.145378732953
1.0,2.5,6.8,6.3,2.0,2161.480195572557
1.0,2.5,6.8,6.3,2.5,2197.026210278585
1.0,2.5,6.8,6.3,3.0,2258.292188211017
1.0,2.5,6.8,6.3,3.5,2371.0331489959717
1.0,2.5,6.8,6.8,1.0,2060.4559489490184
1.0,2.5,6.8,6.8,1.5,2061.4322171681447
1.0,2.5,6.8,6.8,2.0,2083.779743391304
1.0,2.5,6.8,6.8,2.5,2108.0418617310334
1.0,2.5,6.8,6.8,3.0,2148.089793527436
1.0,2.5,6.8,6.8,3.5,2240.794362815179
1.0,2.5,6.8,7.3,1.0,2055.0964001610546
1.0,2.5,6.8,7.3,1.5,2044.858473319045
1.0,2.5,6.8,7.3,2.0,2050.595809682651
1.0,2.5,6.8,7.3,2.5,2061.0046051302543
1.0,2.5,6.8,7.3,3.0,2092.476664670027
1.0,2.5,6.8,7.3,3.5,2152.630399991932
